H01|030403|2500000099|2026-01-31|LBPPNJU|2600|1|
D01|2600010000|Rian|BJ:e137|EN:e3831|Fany|5|1
D01|2600010000|Jafar|BJ:e137|EN:e3831|Ibnu|4|1
D01|2600010000|Fajri|BJ:e137|EN:e3831|Jamal|3|2
D01|2600010000|Robby|BJ:e137|EN:e3831|Sofia|3|2
D01|2600010000|Sukma|BJ:e137|EN:e3831|Tika|2|3
D01|2600010000|Jayadi|BJ:e137|EN:e3831|Hasan|3|1
D01|2600010000|Fikri|BJ:e137|EN:e3831|Jufri|4|1
D01|2600010000|Bagus|BJ:e137|EN:e3831|Kifli|5|3
D01|2600010000|Citra|BJ:e137|EN:e3831|Kamal|4|2
D01|2600010000|Komar|BJ:e137|EN:e3831|Sobri|3|1
