H01|030404|2600000099|2026-01-31|LBPPNJS|2700|1|
D01|2700010000|Yohannes|BJ:e137|EN:e3831|PT Indonesia Jaya|5|1
D01|2700010000|Stefanny|BJ:e137|EN:e3831|Makmur Sentosa Tbk|4|1
D01|2700010000|Sintya|BJ:e137|EN:e3831|CV Sahabat Sejati|3|2
D01|2700010000|Charles|BJ:e137|EN:e3831|PT Maju Terus|3|2
D01|2700010000|Jonathan|BJ:e137|EN:e3831|Mandiri Sehati Tbk|2|3
D01|2700010000|Priska|BJ:e137|EN:e3831|CV Abadi Selalu|3|1
D01|2700010000|Citra|BJ:e137|EN:e3831|PT Indonesia Jaya|4|1
D01|2700010000|Hanny|BJ:e137|EN:e3831|Makmur Sentosa Tbk|5|3
D01|2700010000|Komalasari|BJ:e137|EN:e3831|CV Sahabat Sejati|4|2
D01|2700010000|Fatahillah|BJ:e137|EN:e3831|PT Maju Terus|3|1
