H01|031401|251030|2021-12-31|RBPPU|040301|2|TEST-07-RBUUS-4Net
D01|04030101000000|nama Konsumen Pihak Terkait a|JK:e53|JK:e25|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait b|JK:e25|JK:e26|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait c|JK:e53|JK:e27|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait d|JK:e53|JK:e28|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait f|JK:e25|JK:e29|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait g|JK:e53|JK:e30|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait h|JK:e53|JK:e31|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait i|JK:e25|JK:e32|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait j|JK:e53|JK:e33|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait k|JK:e53|JK:e34|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait l|JK:e25|JK:e35|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait m|JK:e53|JK:e36|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait n|JK:e53|JK:e38|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait o|JK:e25|JK:e46|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait p|JK:e53|JK:e47|1122|1212|2121|1212
D01|04030101000000|nama Konsumen Pihak Terkait q|JK:e53|JK:e29|1122|1212|2121|1212
D01|04030102000000||||17952|19392|33936|19392
D01|04030103000000||||122|22|11|111
D01|04030104000000||||14714.75|88145.45|308509.09|17470.27
