H01|031401|251030|2021-12-31|RBPPK|040301|1|
D01|04030101000000|nama Debitur Pihak Terkait a|JK:e52|JK:e17|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait b|JK:e13|JK:e22|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait c|JK:e14|JK:e21|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait d|JK:e36|JK:e22|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait e|JK:e54|JK:e27|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait f|JK:e53|JK:e36|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait g|JK:e52|JK:e37|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait h|JK:e13|JK:e38|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait i|JK:e14|JK:e17|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait j|JK:e36|JK:e22|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait k|JK:e54|JK:e21|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait l|JK:e53|JK:e22|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait m|JK:e52|JK:e27|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait n|JK:e13|JK:e36|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait o|JK:e30|JK:e37|1122|1212|2121|1212
D01|04030101000000|nama Debitur Pihak Terkait j|JK:e30|JK:e38|1122|1212|2121|1212
D01|04030102000000||||17952|19392|33936|19392
D01|04030103000000||||122|22|11|111
D01|04030104000000||||14714.75|88145.45|308509.09|17470.27
